toMergeCountryCode;toMergePublisher;originalcountryCode;originalRegistryName;distance
nz   ;New Zealand Companies Office                                                                                                                                                                                                                                   ;;                                                                                                                                                                                                                                                               ;28
pa   ;Registro Público de Panamá                                                                                                                                                                                                                                     ;;                                                                                                                                                                                                                                                               ;26
pk   ;Securities & Exchange Commission of Pakistan                                                                                                                                                                                                                   ;;                                                                                                                                                                                                                                                               ;44
pl   ;Polish National Court Register                                                                                                                                                                                                                                 ;;                                                                                                                                                                                                                                                               ;30
pr   ;Puerto Rico Department of State                                                                                                                                                                                                                                ;;                                                                                                                                                                                                                                                               ;31
ro   ;Oficiul Național al Registrului Comerțului                                                                                                                                                                                                                     ;;                                                                                                                                                                                                                                                               ;42
rw   ;Rwanda Office of the Registrar General                                                                                                                                                                                                                         ;;                                                                                                                                                                                                                                                               ;38
se   ;Bolagsverket (Swedish Companies Registration Office)                                                                                                                                                                                                           ;se   ;Bolagsverket / Swedish Companies Registration Office                                                                                                                                                                                                           ;3
sg   ;Singapore Accounting and Corporate Regulatory Authority                                                                                                                                                                                                        ;;                                                                                                                                                                                                                                                               ;55
si   ;Slovenia Ministry Of Finance                                                                                                                                                                                                                                   ;;                                                                                                                                                                                                                                                               ;28
th   ;Thailand Department of Business Development                                                                                                                                                                                                                    ;;                                                                                                                                                                                                                                                               ;43
tj   ;unknown                                                                                                                                                                                                                                                        ;;                                                                                                                                                                                                                                                               ;7
tn   ;Registre de Commerce de Tunisie                                                                                                                                                                                                                                ;;                                                                                                                                                                                                                                                               ;31
to   ;Kingdom of Tonga Companies Office                                                                                                                                                                                                                              ;;                                                                                                                                                                                                                                                               ;33
tz   ;Tanzania Business Registrations and Licensing Agency                                                                                                                                                                                                           ;;                                                                                                                                                                                                                                                               ;52
ug   ;Uganda Registration Services Bureau                                                                                                                                                                                                                            ;ug   ;NGO Board, Ministry of Internal Affairs                                                                                                                                                                                                                        ;30
ug   ;Uganda Registration Services Bureau                                                                                                                                                                                                                            ;ug   ;Registration Services Bureau                                                                                                                                                                                                                                   ;7
us   ;Alabama Secretary of State                                                                                                                                                                                                                                     ;us   ;Corporation registration is the responsibility of each state (see link)                                                                                                                                                                                        ;56
us   ;Alabama Secretary of State                                                                                                                                                                                                                                     ;us   ;Internal Revenue Service / Employer Identification Number                                                                                                                                                                                                      ;45
us   ;Alabama Secretary of State                                                                                                                                                                                                                                     ;us   ;Index of U.S. Government Departments and Agencies                                                                                                                                                                                                              ;39
us   ;Alaska Department of Commerce                                                                                                                                                                                                                                  ;us   ;Corporation registration is the responsibility of each state (see link)                                                                                                                                                                                        ;57
us   ;Alaska Department of Commerce                                                                                                                                                                                                                                  ;us   ;Internal Revenue Service / Employer Identification Number                                                                                                                                                                                                      ;46
us   ;Alaska Department of Commerce                                                                                                                                                                                                                                  ;us   ;Index of U.S. Government Departments and Agencies                                                                                                                                                                                                              ;35
us   ;Arizona Corporation Commission                                                                                                                                                                                                                                 ;us   ;Corporation registration is the responsibility of each state (see link)                                                                                                                                                                                        ;55
us   ;Arizona Corporation Commission                                                                                                                                                                                                                                 ;us   ;Internal Revenue Service / Employer Identification Number                                                                                                                                                                                                      ;47
us   ;Arizona Corporation Commission                                                                                                                                                                                                                                 ;us   ;Index of U.S. Government Departments and Agencies                                                                                                                                                                                                              ;40
us   ;Arkansas Secretary Of State                                                                                                                                                                                                                                    ;us   ;Corporation registration is the responsibility of each state (see link)                                                                                                                                                                                        ;53
us   ;Arkansas Secretary Of State                                                                                                                                                                                                                                    ;us   ;Internal Revenue Service / Employer Identification Number                                                                                                                                                                                                      ;45
us   ;Arkansas Secretary Of State                                                                                                                                                                                                                                    ;us   ;Index of U.S. Government Departments and Agencies                                                                                                                                                                                                              ;39
us   ;California Secretary of State                                                                                                                                                                                                                                  ;us   ;Corporation registration is the responsibility of each state (see link)                                                                                                                                                                                        ;52
us   ;California Secretary of State                                                                                                                                                                                                                                  ;us   ;Internal Revenue Service / Employer Identification Number                                                                                                                                                                                                      ;44
us   ;California Secretary of State                                                                                                                                                                                                                                  ;us   ;Index of U.S. Government Departments and Agencies                                                                                                                                                                                                              ;38
us   ;Connecticut Secretary Of State, Commercial Recording Division                                                                                                                                                                                                  ;us   ;Corporation registration is the responsibility of each state (see link)                                                                                                                                                                                        ;55
us   ;Connecticut Secretary Of State, Commercial Recording Division                                                                                                                                                                                                  ;us   ;Internal Revenue Service / Employer Identification Number                                                                                                                                                                                                      ;51
us   ;Connecticut Secretary Of State, Commercial Recording Division                                                                                                                                                                                                  ;us   ;Index of U.S. Government Departments and Agencies                                                                                                                                                                                                              ;49
us   ;District of Columbia Department of Consumer and Regulatory Affairs                                                                                                                                                                                             ;us   ;Corporation registration is the responsibility of each state (see link)                                                                                                                                                                                        ;59
us   ;District of Columbia Department of Consumer and Regulatory Affairs                                                                                                                                                                                             ;us   ;Internal Revenue Service / Employer Identification Number                                                                                                                                                                                                      ;51
us   ;District of Columbia Department of Consumer and Regulatory Affairs                                                                                                                                                                                             ;us   ;Index of U.S. Government Departments and Agencies                                                                                                                                                                                                              ;46
us   ;Florida Department of State Division of Corporations                                                                                                                                                                                                           ;us   ;Corporation registration is the responsibility of each state (see link)                                                                                                                                                                                        ;50
us   ;Florida Department of State Division of Corporations                                                                                                                                                                                                           ;us   ;Internal Revenue Service / Employer Identification Number                                                                                                                                                                                                      ;47
us   ;Florida Department of State Division of Corporations                                                                                                                                                                                                           ;us   ;Index of U.S. Government Departments and Agencies                                                                                                                                                                                                              ;44
us   ;Georgia Secretary of State                                                                                                                                                                                                                                     ;us   ;Corporation registration is the responsibility of each state (see link)                                                                                                                                                                                        ;53
us   ;Georgia Secretary of State                                                                                                                                                                                                                                     ;us   ;Internal Revenue Service / Employer Identification Number                                                                                                                                                                                                      ;45
us   ;Georgia Secretary of State                                                                                                                                                                                                                                     ;us   ;Index of U.S. Government Departments and Agencies                                                                                                                                                                                                              ;38
us   ;Hawaii Department Of Commerce & Consumer Affairs                                                                                                                                                                                                               ;us   ;Corporation registration is the responsibility of each state (see link)                                                                                                                                                                                        ;56
us   ;Hawaii Department Of Commerce & Consumer Affairs                                                                                                                                                                                                               ;us   ;Internal Revenue Service / Employer Identification Number                                                                                                                                                                                                      ;48
us   ;Hawaii Department Of Commerce & Consumer Affairs                                                                                                                                                                                                               ;us   ;Index of U.S. Government Departments and Agencies                                                                                                                                                                                                              ;41
us   ;Idaho Secretary of State                                                                                                                                                                                                                                       ;us   ;Corporation registration is the responsibility of each state (see link)                                                                                                                                                                                        ;55
us   ;Idaho Secretary of State                                                                                                                                                                                                                                       ;us   ;Internal Revenue Service / Employer Identification Number                                                                                                                                                                                                      ;45
us   ;Idaho Secretary of State                                                                                                                                                                                                                                       ;us   ;Index of U.S. Government Departments and Agencies                                                                                                                                                                                                              ;36
us   ;Iowa Secretary of State                                                                                                                                                                                                                                        ;us   ;Corporation registration is the responsibility of each state (see link)                                                                                                                                                                                        ;55
us   ;Iowa Secretary of State                                                                                                                                                                                                                                        ;us   ;Internal Revenue Service / Employer Identification Number                                                                                                                                                                                                      ;44
us   ;Iowa Secretary of State                                                                                                                                                                                                                                        ;us   ;Index of U.S. Government Departments and Agencies                                                                                                                                                                                                              ;38
us   ;Kansas Business Center                                                                                                                                                                                                                                         ;us   ;Corporation registration is the responsibility of each state (see link)                                                                                                                                                                                        ;58
us   ;Kansas Business Center                                                                                                                                                                                                                                         ;us   ;Internal Revenue Service / Employer Identification Number                                                                                                                                                                                                      ;46
us   ;Kansas Business Center                                                                                                                                                                                                                                         ;us   ;Index of U.S. Government Departments and Agencies                                                                                                                                                                                                              ;41
us   ;Louisiana Secretary Of State, Commercial Division                                                                                                                                                                                                              ;us   ;Corporation registration is the responsibility of each state (see link)                                                                                                                                                                                        ;56
us   ;Louisiana Secretary Of State, Commercial Division                                                                                                                                                                                                              ;us   ;Internal Revenue Service / Employer Identification Number                                                                                                                                                                                                      ;47
us   ;Louisiana Secretary Of State, Commercial Division                                                                                                                                                                                                              ;us   ;Index of U.S. Government Departments and Agencies                                                                                                                                                                                                              ;43
us   ;Maine Bureau of Corporations, Elections and Commissions                                                                                                                                                                                                        ;us   ;Corporation registration is the responsibility of each state (see link)                                                                                                                                                                                        ;54
us   ;Maine Bureau of Corporations, Elections and Commissions                                                                                                                                                                                                        ;us   ;Internal Revenue Service / Employer Identification Number                                                                                                                                                                                                      ;49
us   ;Maine Bureau of Corporations, Elections and Commissions                                                                                                                                                                                                        ;us   ;Index of U.S. Government Departments and Agencies                                                                                                                                                                                                              ;41
us   ;Maryland Department of Assessments & Taxation                                                                                                                                                                                                                  ;us   ;Corporation registration is the responsibility of each state (see link)                                                                                                                                                                                        ;53
us   ;Maryland Department of Assessments & Taxation                                                                                                                                                                                                                  ;us   ;Internal Revenue Service / Employer Identification Number                                                                                                                                                                                                      ;45
us   ;Maryland Department of Assessments & Taxation                                                                                                                                                                                                                  ;us   ;Index of U.S. Government Departments and Agencies                                                                                                                                                                                                              ;37
us   ;Massachusetts Secretary of the Commonwealth, Corporations Division                                                                                                                                                                                             ;us   ;Corporation registration is the responsibility of each state (see link)                                                                                                                                                                                        ;55
us   ;Massachusetts Secretary of the Commonwealth, Corporations Division                                                                                                                                                                                             ;us   ;Internal Revenue Service / Employer Identification Number                                                                                                                                                                                                      ;53
us   ;Massachusetts Secretary of the Commonwealth, Corporations Division                                                                                                                                                                                             ;us   ;Index of U.S. Government Departments and Agencies                                                                                                                                                                                                              ;53
us   ;Michigan Department of Energy, Labor & Economic Growth                                                                                                                                                                                                         ;us   ;Corporation registration is the responsibility of each state (see link)                                                                                                                                                                                        ;56
us   ;Michigan Department of Energy, Labor & Economic Growth                                                                                                                                                                                                         ;us   ;Internal Revenue Service / Employer Identification Number                                                                                                                                                                                                      ;49
us   ;Michigan Department of Energy, Labor & Economic Growth                                                                                                                                                                                                         ;us   ;Index of U.S. Government Departments and Agencies                                                                                                                                                                                                              ;48
us   ;Mississippi Secretary of State                                                                                                                                                                                                                                 ;us   ;Corporation registration is the responsibility of each state (see link)                                                                                                                                                                                        ;53
us   ;Mississippi Secretary of State                                                                                                                                                                                                                                 ;us   ;Internal Revenue Service / Employer Identification Number                                                                                                                                                                                                      ;47
us   ;Mississippi Secretary of State                                                                                                                                                                                                                                 ;us   ;Index of U.S. Government Departments and Agencies                                                                                                                                                                                                              ;40
us   ;Missouri Secretary of State                                                                                                                                                                                                                                    ;us   ;Corporation registration is the responsibility of each state (see link)                                                                                                                                                                                        ;54
us   ;Missouri Secretary of State                                                                                                                                                                                                                                    ;us   ;Internal Revenue Service / Employer Identification Number                                                                                                                                                                                                      ;46
us   ;Missouri Secretary of State                                                                                                                                                                                                                                    ;us   ;Index of U.S. Government Departments and Agencies                                                                                                                                                                                                              ;39
us   ;New Hampshire Secretary Of State Corporation Division                                                                                                                                                                                                          ;us   ;Corporation registration is the responsibility of each state (see link)                                                                                                                                                                                        ;56
us   ;New Hampshire Secretary Of State Corporation Division                                                                                                                                                                                                          ;us   ;Internal Revenue Service / Employer Identification Number                                                                                                                                                                                                      ;46
us   ;New Hampshire Secretary Of State Corporation Division                                                                                                                                                                                                          ;us   ;Index of U.S. Government Departments and Agencies                                                                                                                                                                                                              ;45
us   ;State of New Jersey Division of Revenue                                                                                                                                                                                                                        ;us   ;Corporation registration is the responsibility of each state (see link)                                                                                                                                                                                        ;53
us   ;State of New Jersey Division of Revenue                                                                                                                                                                                                                        ;us   ;Internal Revenue Service / Employer Identification Number                                                                                                                                                                                                      ;44
us   ;State of New Jersey Division of Revenue                                                                                                                                                                                                                        ;us   ;Index of U.S. Government Departments and Agencies                                                                                                                                                                                                              ;34
us   ;New Mexico Public Regulation Commission (Corporations Division)                                                                                                                                                                                                ;us   ;Corporation registration is the responsibility of each state (see link)                                                                                                                                                                                        ;58
us   ;New Mexico Public Regulation Commission (Corporations Division)                                                                                                                                                                                                ;us   ;Internal Revenue Service / Employer Identification Number                                                                                                                                                                                                      ;52
us   ;New Mexico Public Regulation Commission (Corporations Division)                                                                                                                                                                                                ;us   ;Index of U.S. Government Departments and Agencies                                                                                                                                                                                                              ;53
us   ;New York Department of State                                                                                                                                                                                                                                   ;us   ;Corporation registration is the responsibility of each state (see link)                                                                                                                                                                                        ;55
us   ;New York Department of State                                                                                                                                                                                                                                   ;us   ;Internal Revenue Service / Employer Identification Number                                                                                                                                                                                                      ;45
us   ;New York Department of State                                                                                                                                                                                                                                   ;us   ;Index of U.S. Government Departments and Agencies                                                                                                                                                                                                              ;31
us   ;North Carolina Secretary of State, Corporations Division                                                                                                                                                                                                       ;us   ;Corporation registration is the responsibility of each state (see link)                                                                                                                                                                                        ;55
us   ;North Carolina Secretary of State, Corporations Division                                                                                                                                                                                                       ;us   ;Internal Revenue Service / Employer Identification Number                                                                                                                                                                                                      ;47
us   ;North Carolina Secretary of State, Corporations Division                                                                                                                                                                                                       ;us   ;Index of U.S. Government Departments and Agencies                                                                                                                                                                                                              ;46
us   ;Ohio Secretary of State                                                                                                                                                                                                                                        ;us   ;Corporation registration is the responsibility of each state (see link)                                                                                                                                                                                        ;55
us   ;Ohio Secretary of State                                                                                                                                                                                                                                        ;us   ;Internal Revenue Service / Employer Identification Number                                                                                                                                                                                                      ;46
us   ;Ohio Secretary of State                                                                                                                                                                                                                                        ;us   ;Index of U.S. Government Departments and Agencies                                                                                                                                                                                                              ;38
us   ;Oklahoma Secretary Of State                                                                                                                                                                                                                                    ;us   ;Corporation registration is the responsibility of each state (see link)                                                                                                                                                                                        ;56
us   ;Oklahoma Secretary Of State                                                                                                                                                                                                                                    ;us   ;Internal Revenue Service / Employer Identification Number                                                                                                                                                                                                      ;46
us   ;Oklahoma Secretary Of State                                                                                                                                                                                                                                    ;us   ;Index of U.S. Government Departments and Agencies                                                                                                                                                                                                              ;39
us   ;Oregon Secretary of State (Corporation Division)                                                                                                                                                                                                               ;us   ;Corporation registration is the responsibility of each state (see link)                                                                                                                                                                                        ;53
us   ;Oregon Secretary of State (Corporation Division)                                                                                                                                                                                                               ;us   ;Internal Revenue Service / Employer Identification Number                                                                                                                                                                                                      ;45
us   ;Oregon Secretary of State (Corporation Division)                                                                                                                                                                                                               ;us   ;Index of U.S. Government Departments and Agencies                                                                                                                                                                                                              ;42
us   ;Pennsylvania Department of State                                                                                                                                                                                                                               ;us   ;Corporation registration is the responsibility of each state (see link)                                                                                                                                                                                        ;55
us   ;Pennsylvania Department of State                                                                                                                                                                                                                               ;us   ;Internal Revenue Service / Employer Identification Number                                                                                                                                                                                                      ;43
us   ;Pennsylvania Department of State                                                                                                                                                                                                                               ;us   ;Index of U.S. Government Departments and Agencies                                                                                                                                                                                                              ;32
us   ;Rhode Island Secretary of State, Division Of Business Services                                                                                                                                                                                                 ;us   ;Corporation registration is the responsibility of each state (see link)                                                                                                                                                                                        ;54
us   ;Rhode Island Secretary of State, Division Of Business Services                                                                                                                                                                                                 ;us   ;Internal Revenue Service / Employer Identification Number                                                                                                                                                                                                      ;52
us   ;Rhode Island Secretary of State, Division Of Business Services                                                                                                                                                                                                 ;us   ;Index of U.S. Government Departments and Agencies                                                                                                                                                                                                              ;49
us   ;South Carolina Secretary Of State                                                                                                                                                                                                                              ;us   ;Corporation registration is the responsibility of each state (see link)                                                                                                                                                                                        ;53
us   ;South Carolina Secretary Of State                                                                                                                                                                                                                              ;us   ;Internal Revenue Service / Employer Identification Number                                                                                                                                                                                                      ;45
us   ;South Carolina Secretary Of State                                                                                                                                                                                                                              ;us   ;Index of U.S. Government Departments and Agencies                                                                                                                                                                                                              ;38
us   ;South Dakota Secretary of State                                                                                                                                                                                                                                ;us   ;Corporation registration is the responsibility of each state (see link)                                                                                                                                                                                        ;53
us   ;South Dakota Secretary of State                                                                                                                                                                                                                                ;us   ;Internal Revenue Service / Employer Identification Number                                                                                                                                                                                                      ;46
us   ;South Dakota Secretary of State                                                                                                                                                                                                                                ;us   ;Index of U.S. Government Departments and Agencies                                                                                                                                                                                                              ;39
us   ;Tennessee Secretary of State, Division of Business Services                                                                                                                                                                                                    ;us   ;Corporation registration is the responsibility of each state (see link)                                                                                                                                                                                        ;53
us   ;Tennessee Secretary of State, Division of Business Services                                                                                                                                                                                                    ;us   ;Internal Revenue Service / Employer Identification Number                                                                                                                                                                                                      ;50
us   ;Tennessee Secretary of State, Division of Business Services                                                                                                                                                                                                    ;us   ;Index of U.S. Government Departments and Agencies                                                                                                                                                                                                              ;47
us   ;Utah Department of Commerce                                                                                                                                                                                                                                    ;us   ;Corporation registration is the responsibility of each state (see link)                                                                                                                                                                                        ;57
us   ;Utah Department of Commerce                                                                                                                                                                                                                                    ;us   ;Internal Revenue Service / Employer Identification Number                                                                                                                                                                                                      ;45
us   ;Utah Department of Commerce                                                                                                                                                                                                                                    ;us   ;Index of U.S. Government Departments and Agencies                                                                                                                                                                                                              ;34
us   ;Vermont Secretary of State: Corporations Division                                                                                                                                                                                                              ;us   ;Corporation registration is the responsibility of each state (see link)                                                                                                                                                                                        ;54
us   ;Vermont Secretary of State: Corporations Division                                                                                                                                                                                                              ;us   ;Internal Revenue Service / Employer Identification Number                                                                                                                                                                                                      ;46
us   ;Vermont Secretary of State: Corporations Division                                                                                                                                                                                                              ;us   ;Index of U.S. Government Departments and Agencies                                                                                                                                                                                                              ;42
us   ;Commonwealth Of Virginia State Corporation Commission                                                                                                                                                                                                          ;us   ;Corporation registration is the responsibility of each state (see link)                                                                                                                                                                                        ;54
us   ;Commonwealth Of Virginia State Corporation Commission                                                                                                                                                                                                          ;us   ;Internal Revenue Service / Employer Identification Number                                                                                                                                                                                                      ;47
us   ;Commonwealth Of Virginia State Corporation Commission                                                                                                                                                                                                          ;us   ;Index of U.S. Government Departments and Agencies                                                                                                                                                                                                              ;45
us   ;Washington Secretary of State - Corporations Division                                                                                                                                                                                                          ;us   ;Corporation registration is the responsibility of each state (see link)                                                                                                                                                                                        ;54
us   ;Washington Secretary of State - Corporations Division                                                                                                                                                                                                          ;us   ;Internal Revenue Service / Employer Identification Number                                                                                                                                                                                                      ;47
us   ;Washington Secretary of State - Corporations Division                                                                                                                                                                                                          ;us   ;Index of U.S. Government Departments and Agencies                                                                                                                                                                                                              ;45
us   ;West Virginia Secretary of State                                                                                                                                                                                                                               ;us   ;Corporation registration is the responsibility of each state (see link)                                                                                                                                                                                        ;51
us   ;West Virginia Secretary of State                                                                                                                                                                                                                               ;us   ;Internal Revenue Service / Employer Identification Number                                                                                                                                                                                                      ;45
us   ;West Virginia Secretary of State                                                                                                                                                                                                                               ;us   ;Index of U.S. Government Departments and Agencies                                                                                                                                                                                                              ;39
us   ;Wyoming Secretary of State's Office                                                                                                                                                                                                                            ;us   ;Corporation registration is the responsibility of each state (see link)                                                                                                                                                                                        ;52
us   ;Wyoming Secretary of State's Office                                                                                                                                                                                                                            ;us   ;Internal Revenue Service / Employer Identification Number                                                                                                                                                                                                      ;45
us   ;Wyoming Secretary of State's Office                                                                                                                                                                                                                            ;us   ;Index of U.S. Government Departments and Agencies                                                                                                                                                                                                              ;38
vn   ;Vietnam National Business Registration System                                                                                                                                                                                                                  ;;                                                                                                                                                                                                                                                               ;45
vu   ;Vanuatu Financial Services Commission                                                                                                                                                                                                                          ;;                                                                                                                                                                                                                                                               ;37
za   ;South Africa Companies and Intellectual Property Commission                                                                                                                                                                                                    ;za   ;Companies and Intellectual Property Commission (CIPC)                                                                                                                                                                                                          ;20
za   ;South Africa Companies and Intellectual Property Commission                                                                                                                                                                                                    ;za   ;Association for Non-Profit Organisations                                                                                                                                                                                                                       ;46
za   ;South Africa Companies and Intellectual Property Commission                                                                                                                                                                                                    ;za   ;SA Revenue Service Tax Exemption Unit / Public Benefit Organisations                                                                                                                                                                                           ;51
